TITLE="mean" 
Variables="X","Y","Z","VX","VY","VZ"
ZONE T="0", I=289, J=214, SOLUTIONTIME=0
-47.5266 -81.232 35.0 5234.86322322 -10507.98999 -9.70557066066
-47.1932 -81.232 35.0 5228.37631632 -10470.1865766 10.4828189848
-46.8598 -81.232 35.0 5233.72112112 -10506.013984 -9.43766158859
-46.5263 -81.232 35.0 5223.91187187 -10502.1219219 -8.00187158757
-46.1929 -81.232 35.0 5097.46791792 -10203.1078779 166.766051852
-45.8595 -81.232 35.0 4817.23266266 -9531.00304304 563.454192856
-45.5261 -81.232 35.0 4384.07271271 -8487.32884885 1173.36420621
-45.1927 -81.232 35.0 3981.00855856 -7553.65499499 1733.49544925
-44.8593 -81.232 35.0 3810.11469469 -7149.15094094 1973.81405305
-44.5259 -81.232 35.0 3747.80051051 -6997.19475475 2062.33497497
-44.1924 -81.232 35.0 3746.86098098 -6989.75635636 2065.28118118
-43.859 -81.232 35.0 3747.96568569 -6988.49457457 2064.51423423
-43.5256 -81.232 35.0 3747.14843844 -6982.93375375 2067.01744745
-43.1922 -81.232 35.0 3748.99302302 -6983.61827828 2065.2702002
-42.8588 -81.232 35.0 3750.06721722 -6984.99926927 2063.11878879
-42.5254 -81.232 35.0 3749.98296296 -6985.02188188 2061.77722723
-42.192 -81.232 35.0 3752.17129129 -6991.37690691 2057.25481481
-41.8586 -81.232 35.0 3751.32411411 -6990.0776977 2057.23676677
-41.5251 -81.232 35.0 3774.92943944 -7043.55127127 2024.1896026
-41.1917 -81.232 35.0 3785.22702703 -7068.9370971 2008.29032933
-40.8583 -81.232 35.0 3796.50713714 -7095.19229229 1991.32575375
-40.5249 -81.232 35.0 3811.76095095 -7130.13421421 1968.86475776
-40.1915 -81.232 35.0 3809.7238038 -7126.91166166 1969.70835235
-39.8581 -81.232 35.0 3806.52495495 -7121.30511512 1971.85593694
-39.5247 -81.232 35.0 3806.99861862 -7124.72541542 1969.42102202
-39.1912 -81.232 35.0 3807.19152152 -7125.89292292 1967.80556056
-38.8578 -81.232 35.0 3806.15814815 -7123.34718719 1968.26607708
-38.5244 -81.232 35.0 3804.92332332 -7121.72466466 1967.82382482
-38.191 -81.232 35.0 3808.12229229 -7130.72855856 1961.87497397
-37.8576 -81.232 35.0 3805.36045045 -7125.2361962 1964.19125225
-37.5242 -81.232 35.0 3812.77422422 -7143.36638639 1952.70435335
-37.1908 -81.232 35.0 3815.38633634 -7152.05574575 1946.77477578
-36.8573 -81.232 35.0 3810.72778779 -7144.18990991 1950.56781782
-36.5239 -81.232 35.0 3803.15412412 -7128.83520521 1958.51948448
-36.1905 -81.232 35.0 3795.21886887 -7112.56682683 1967.2302022
-35.8571 -81.232 35.0 3790.18377377 -7101.0695996 1972.59848048
-35.5237 -81.232 35.0 3796.05323323 -7113.67852853 1964.64310711
-35.1903 -81.232 35.0 3796.86198198 -7117.40012012 1961.68845846
-34.8569 -81.232 35.0 3790.13228228 -7104.54443443 1968.68828629
-34.5234 -81.232 35.0 3787.27606607 -7100.82702703 1969.77884985
-34.19 -81.232 35.0 3771.18382382 -7066.8862963 1989.21310511
-33.8566 -81.232 35.0 3773.35293293 -7072.06079079 1985.13644745
-33.5232 -81.232 35.0 3770.45303303 -7065.74321321 1988.03561161
-33.1898 -81.232 35.0 3773.00458458 -7071.95786787 1983.49988589
-32.8564 -81.232 35.0 3773.43914915 -7073.77072072 1981.27744444
-32.523 -81.232 35.0 3763.63958959 -7053.96993994 1992.07632032
-32.1896 -81.232 35.0 3762.24617618 -7053.56721722 1991.37558258
-31.8561 -81.232 35.0 3762.89907908 -7056.63335335 1988.06732733
-31.5227 -81.232 35.0 3756.61815816 -7043.44845846 1995.20336036
-31.1893 -81.232 35.0 3760.75088088 -7052.69997998 1988.67996396
